case_id	case_tree	num_mutations
window1:107_92_43_66	(Sample2:0.00000,(Sample3:12.00000,Sample4:6.00000):12.00000,Sample1:0.00000);	25
window1:107_95_36_66	(Sample2:2.50000,(Sample3:15.50000,Sample4:6.50000):11.50000,Sample1:2.50000);	31
window1:107_95_31_4	(Sample2:2.50000,(Sample3:9.50000,Sample4:18.50000):9.50000,Sample1:2.50000);	34
window1:107_95_22_75	(Sample2:3.00000,(Sample3:6.00000,Sample4:13.00000):12.00000,Sample1:2.00000);	30
window1:107_93_55_74	(Sample2:0.00000,(Sample3:4.00000,Sample4:13.00000):28.00000,Sample1:0.00000);	40
window1:107_94_39_78	(Sample2:0.00000,(Sample3:14.00000,Sample4:14.00000):12.00000,Sample1:0.00000);	33
window1:107_95_60_87	(Sample2:0.50000,(Sample3:5.50000,Sample4:15.50000):11.50000,Sample1:4.50000);	31
window1:107_93_38_25	(Sample2:0.00000,(Sample3:6.00000,Sample4:17.00000):20.00000,Sample1:0.00000);	37
window1:107_95_55_42	(Sample2:0.50000,(Sample3:11.50000,Sample4:8.50000):16.50000,Sample1:4.50000);	35
window1:107_94_13_59	(Sample2:0.00000,(Sample3:16.00000,Sample4:2.00000):10.00000,Sample1:0.00000);	23
window1:107_92_5_25	(Sample2:0.00000,(Sample3:4.00000,Sample4:7.00000):30.00000,Sample1:0.00000);	38
window1:107_96_60_4	(Sample2:1.00000,(Sample3:6.00000,Sample4:17.00000):15.00000,Sample1:0.00000);	33
window1:107_98_60_87	(Sample2:4.00000,(Sample3:4.00000,Sample4:17.00000):15.00000,Sample1:1.00000);	34
window1:107_93_39_66	(Sample2:0.00000,(Sample3:19.00000,Sample4:11.00000):7.00000,Sample1:0.00000);	29
window1:107_93_20_75	(Sample2:0.00000,(Sample3:11.00000,Sample4:13.00000):12.00000,Sample1:0.00000);	30
window1:107_93_13_71	(Sample2:0.00000,(Sample3:11.00000,Sample4:7.00000):15.00000,Sample1:0.00000);	28
window1:107_91_54_76	(Sample2:2.50000,(Sample3:6.50000,Sample4:9.50000):8.50000,Sample1:7.50000);	28
window1:107_95_20_58	(Sample2:3.50000,(Sample3:12.50000,Sample4:10.50000):7.50000,Sample1:1.50000);	28
window1:107_94_60_7	(Sample2:0.00000,(Sample3:5.00000,Sample4:12.00000):16.00000,Sample1:0.00000);	28
window1:107_95_55_75	(Sample2:3.00000,(Sample3:11.00000,Sample4:8.00000):17.00000,Sample1:2.00000);	35
window1:107_96_44_8	(Sample2:1.00000,(Sample3:5.00000,Sample4:7.00000):17.00000,Sample1:0.00000);	26
window1:107_94_60_74	(Sample2:0.00000,(Sample3:2.00000,Sample4:22.00000):19.00000,Sample1:0.00000);	37
window1:107_94_12_17	(Sample2:0.00000,(Sample3:11.00000,Sample4:8.00000):20.00000,Sample1:0.00000);	34
window1:107_95_20_23	(Sample2:1.00000,(Sample3:6.00000,Sample4:13.00000):14.00000,Sample1:4.00000);	32
window1:107_95_53_40	(Sample2:2.00000,(Sample3:7.00000,Sample4:5.00000):12.00000,Sample1:3.00000);	24
window1:107_98_70_45	(Sample2:1.00000,(Sample3:4.00000,Sample4:9.00000):16.00000,Sample1:4.00000);	29
window1:107_91_44_66	(Sample2:2.50000,(Sample3:13.50000,Sample4:8.50000):1.50000,Sample1:7.50000);	25
window1:107_93_80_23	(Sample2:0.00000,(Sample3:4.00000,Sample4:19.00000):13.00000,Sample1:0.00000);	30
window1:107_94_5_17	(Sample2:0.00000,(Sample3:8.00000,Sample4:2.00000):26.00000,Sample1:0.00000);	33
window1:107_98_80_63	(Sample2:2.50000,(Sample3:9.50000,Sample4:8.50000):5.50000,Sample1:2.50000);	22
window1:107_97_44_71	(Sample2:2.50000,(Sample3:9.50000,Sample4:12.50000):9.50000,Sample1:1.50000);	29
window1:107_96_3_76	(Sample2:0.50000,(Sample3:6.50000,Sample4:3.50000):20.50000,Sample1:0.50000);	28
window1:107_95_38_28	(Sample2:4.00000,(Sample3:8.00000,Sample4:4.00000):17.00000,Sample1:1.00000);	29
window1:107_95_43_25	(Sample2:1.00000,(Sample3:6.00000,Sample4:19.00000):14.00000,Sample1:4.00000);	36
window1:107_91_13_49	(Sample2:2.00000,(Sample3:8.00000,Sample4:6.00000):10.00000,Sample1:8.00000);	28
window1:107_92_5_87	(Sample2:0.00000,(Sample3:5.00000,Sample4:3.00000):29.00000,Sample1:0.00000);	35
window1:107_92_3_28	(Sample2:0.00000,(Sample3:7.00000,Sample4:2.00000):20.00000,Sample1:0.00000);	26
window1:107_94_5_90	(Sample2:0.00000,(Sample3:14.00000,Sample4:2.00000):20.00000,Sample1:0.00000);	32
window1:107_94_60_75	(Sample2:0.00000,(Sample3:9.00000,Sample4:13.00000):12.00000,Sample1:0.00000);	28
window1:107_98_44_76	(Sample2:2.00000,(Sample3:11.00000,Sample4:10.00000):10.00000,Sample1:3.00000);	29
window1:107_91_60_75	(Sample2:3.00000,(Sample3:10.00000,Sample4:12.00000):5.00000,Sample1:7.00000);	29
window1:107_92_80_23	(Sample2:0.00000,(Sample3:4.00000,Sample4:19.00000):13.00000,Sample1:0.00000);	30
window1:107_93_36_76	(Sample2:0.00000,(Sample3:14.00000,Sample4:7.00000):18.00000,Sample1:0.00000);	33
window1:107_92_36_90	(Sample2:0.00000,(Sample3:14.00000,Sample4:4.00000):18.00000,Sample1:0.00000);	31
window1:107_94_22_25	(Sample2:0.00000,(Sample3:4.00000,Sample4:19.00000):18.00000,Sample1:0.00000);	35
